Ticker,ScanDate,ScanPrice,Score,MxV,RunUp,REL_VOL,RSI,ATRX,Gap,VWAP_dev,Volume,MarketCap,Hour,Float%,PriceToHigh,PriceTo52WHigh,ScanChange%,DayRunUp%,EntryScore,ScoreMax,ScoreMin,ScoreStd,ScanCount,Sector,Industry,MarketCapCategory,drop_max_pct,rise_max_pct,drop_d1_open,drop_d1_close,drop_d5_close,hit_tp10,hit_sl7,net_outcome,D1_Gap%,FirstScanTime,LastScanTime,PeakScoreTime
QNTM,2026-04-01,4.43,16.32,72.82,-14.22,4.22,56.68,2.06,7.04,-11.56,1145280.0,18686580.0,,27.18,-28.58,-88.41,-8.18,10.61,,,,,,nan,nan,nan,-20.32,3.8374717832957095,0.45146726862303527,-10.158013544018054,-16.930022573363424,True,False,TP_HIT,0.45,nan,nan,09:56
RENX,2026-04-01,2.63,55.06,-3554.25,7.13,54.14,51.05,2.47,37.92,-6.02,84756303.0,6100000.0,,3656.36,-24.43,-94.43,47.71,34.65,,,,,,nan,nan,nan,-27.38,18.250950570342205,-8.365019011406835,-23.193916349809882,7.2243346007604545,True,True,SL_HIT,-8.37,nan,nan,11:51
SST,2026-04-01,5.21,72.73,-58.28,63.32,8.63,73.81,3.3,5.63,10.62,15667282.0,51570000.0,,193.82,-10.17,-65.27,72.52,60.17,,,,,,nan,nan,nan,-46.26,7.485604606525905,-16.506717850287913,-31.477927063339735,-41.65067178502879,True,True,SL_HIT,-16.51,nan,nan,14:52
UGRO,2026-04-01,22.5,31.36,-143.09,-7.03,0.37,64.53,1.14,9.6,-2.88,1827130.0,16911496.0,,243.09,-14.74,-39.19,1.9,0.0,,,,,,nan,nan,nan,-19.78,4.355555555555558,-12.666666666666673,-15.555555555555555,-17.466666666666665,True,False,TP_HIT,-12.67,nan,nan,14:58
SKYQ,2026-04-03,5.1,69.45,-5299.25,-8.44,48.84,68.81,15.46,120.16,3.8,202842371.0,19160000.0,,676.98,-13.41,-67.14,101.58,0.0,,,,,,nan,nan,nan,-11.37,200.98039215686273,-7.843137254901951,-1.9607843137254832,146.86274509803923,True,True,SL_HIT,-7.84,nan,nan,08:30
TURB,2026-04-03,3.18,57.06,-226.96,-1.85,6.34,58.01,24.15,37.87,-2.25,36027250.0,35040000.0,,299.8,-16.32,-84.45,35.32,0.0,,,,,,nan,nan,nan,-33.93,10.377358490566026,-7.861635220125786,-3.4591194968553554,-32.38993710691824,True,True,SL_HIT,-7.86,nan,nan,08:30
CLIR,2026-04-06,6.78,66.53,88.05,39.79,36.7,75.04,4.04,0.41,6.27,646761.0,36690000.0,,11.96,-10.32,-39.46,40.47,19.18,,,,,,nan,nan,nan,-30.24,2.949852507374634,-4.8672566371681425,-9.292035398230086,-20.501474926253696,True,False,TP_HIT,-4.87,nan,nan,11:17
FCUV,2026-04-06,5.59,58.18,-4864.52,-25.07,100.0,59.69,3.94,123.35,-17.87,50799759.0,5720000.0,,4955.42,-41.03,-90.9,67.37,7.11,,,,,,nan,nan,nan,-53.35,-25.939177101967804,-26.118067978533094,-32.379248658318424,-42.03935599284436,True,False,TP_HIT,-26.12,nan,nan,11:53
IOTR,2026-04-06,2.31,43.25,-219.51,-15.07,5.75,54.68,2.54,10.88,-7.97,8195340.0,5925152.0,,1117.56,-23.0,-96.14,-5.83,4.91,,,,,,nan,nan,nan,0.0,46.32034632034631,0.0,42.85714285714285,22.51082251082251,False,True,SL_HIT,0.0,nan,nan,14:52
MLEC,2026-04-06,11.17,85.92,-1283.05,29.28,7.24,60.97,2.84,24.32,8.03,10054051.0,8119999.0,,1384.63,-5.02,-92.89,60.72,23.96,,,,,,nan,nan,nan,-37.33,2.4171888988361645,-4.297224709042081,-2.5067144136078725,-32.67681289167413,True,False,TP_HIT,-4.3,nan,nan,14:57
MNTS,2026-04-06,3.5,27.41,-87.01,6.06,1.84,33.56,1.74,0.61,-3.85,3122188.0,5843470.0,,187.01,-15.66,-91.97,6.71,0.52,,,,,,nan,nan,nan,-11.14,47.714285714285715,-4.571428571428576,-7.714285714285715,40.57142857142857,True,True,SL_HIT,-4.57,nan,nan,14:00
PRFX,2026-04-06,2.54,49.86,-3234.37,5.77,51.98,51.23,2.0,14.29,-1.69,28160465.0,2143808.0,,3334.37,-11.86,-85.86,20.88,1.09,,,,,,nan,nan,nan,-16.54,8.661417322834636,-7.480314960629919,-11.41732283464567,7.8740157480315025,True,True,SL_HIT,-7.48,nan,nan,12:16
SKYQ,2026-04-06,5.92,75.32,-434.38,25.96,5.25,69.68,2.27,-7.84,5.28,20075215.0,22240000.0,,67.0,-7.93,-61.86,16.08,2.77,,,,,,nan,nan,nan,-15.54,228.5472972972973,7.601351351351354,7.43243243243244,96.28378378378378,True,True,SL_HIT,7.6,nan,nan,13:18
SMX,2026-04-06,12.65,76.91,-641.16,56.56,41.42,37.03,3.52,-4.49,-6.09,21455441.0,36620000.0,,705.99,-35.72,-99.67,49.53,15.35,,,,,,nan,nan,nan,-56.05,-8.142292490118585,-12.094861660079061,-35.573122529644266,-52.25296442687747,True,False,TP_HIT,-12.09,nan,nan,12:09
ADVB,2026-04-07,6.32,53.86,-971.29,-11.48,67.54,72.0,2.65,61.54,-4.96,14628545.0,8630000.0,,1072.05,-16.73,-89.07,43.1,,,,,,,nan,nan,nan,-4.75,10.443037974683547,-3.481012658227858,0.3164556962025249,-0.1582278481012765,False,True,SL_HIT,-3.48,nan,nan,nan
AGPU,2026-04-07,4.76,46.75,-114.4,9.68,3.92,79.83,3.43,2.12,-7.21,7245070.0,16085270.0,,213.5,-26.32,-85.17,12.0,,,,,,,nan,nan,nan,-32.77,10.924369747899169,-0.2100840336134409,-5.4621848739495755,-27.100840336134446,True,True,SL_HIT,-0.21,nan,nan,nan
AIXI,2026-04-07,2.31,95.91,-4336.03,108.11,18.89,94.54,8.54,38.06,16.85,595311383.0,31000000.0,,4459.45,-14.76,-42.54,186.76,,,,,,,nan,nan,nan,-58.7,-22.943722943722943,-28.138528138528144,-38.0952380952381,-53.246753246753244,True,False,TP_HIT,-28.14,nan,nan,nan
KPRX,2026-04-07,2.16,50.65,-557.61,-7.3,100.0,59.89,3.15,15.35,-5.95,25919391.0,8513603.0,,656.08,-16.28,-48.33,6.93,,,,,,,nan,nan,nan,1.85,34.72222222222222,1.8518518518518534,32.40740740740739,12.962962962962955,False,True,SL_HIT,1.85,nan,nan,nan
LNZA,2026-04-07,27.8,61.44,98.4,52.16,5.49,71.95,2.6,1.47,14.0,161639.0,280440000.0,,1.6,-0.29,-60.96,54.37,,,,,,,nan,nan,nan,-9.82,43.84892086330935,-1.510791366906481,-6.330935251798567,36.4388489208633,False,True,SL_HIT,-1.51,nan,nan,nan
MGRT,2026-04-07,25.9,54.26,98.36,39.92,2.31,88.83,3.24,-2.99,4.55,225478.0,356120000.0,,1.64,-13.52,-18.68,35.74,,,,,,,nan,nan,nan,8.15,197.2972972972973,21.853281853281857,68.91891891891892,183.011583011583,False,True,SL_HIT,21.85,nan,nan,nan
MIGI,2026-04-07,2.85,46.68,-474.45,-7.17,31.46,57.21,2.26,18.53,-5.0,6567496.0,3258291.0,,574.45,-17.39,-92.88,10.04,,,,,,,nan,nan,nan,-5.26,124.91228070175437,1.4035087719298258,49.4736842105263,114.73684210526316,False,True,SL_HIT,1.4,nan,nan,nan
SKYQ,2026-04-07,6.56,53.74,-1793.22,2.98,17.45,74.48,2.35,27.4,-5.38,71140219.0,24650000.0,,237.43,-21.15,-57.73,31.21,,,,,,,nan,nan,nan,-23.78,196.4939024390244,-22.25609756097561,0.7621951219512304,40.24390243902439,True,True,SL_HIT,-22.26,nan,nan,nan
BBGI,2026-04-08,5.7,67.61,-2739.6,9.4,100.0,75.67,3.58,65.92,1.12,51162596.0,10270000.0,12.0,5269.84,-12.98,-78.38,81.53,24.37,,81.93,66.72,3.71,161.0,nan,nan,nan,-10.88,171.9298245614035,-5.438596491228079,93.33333333333333,140.7017543859649,True,True,SL_HIT,-5.44,12:19,14:59,13:27
