ticker,rh_scan_date,dl_drop_date,days_rh_to_dl,rh_score,rh_mxv,rh_runup,rh_scan_price,rh_max_drop,rh_hit_tp10,rh_outcome,dl_pct_change,dl_close,dl_volume,dl_market_cap,dl_gap_down_pct,dl_intraday_reversal_pct,dl_rsi_14,dl_volume_ratio,dl_sector,dl_market_cap_category,dl_post_max_recovery_5d_pct,dl_post_max_further_drop_5d_pct,dl_post_pattern_tag,dl_post_d5_pct
ELAB,2026-04-09,2026-04-14,5,30.34,-1290.13,4.3,6.81,-33.63,True,TP_HIT,-13.78,4.38,1815886,8483057.0,-7.48,0.23,46.19,0.05,Healthcare,Nano,-4.1096,-25.1142,Continued Drop,-24.8858
ELAB,2026-04-09,2026-04-17,8,30.34,-1290.13,4.3,6.81,-33.63,True,TP_HIT,-13.91,3.28,10499500,6352609.0,3.41,0.92,43.24,0.61,Healthcare,Nano,1.2195,-24.0854,Continued Drop,-24.0854
ONCO,2026-04-09,2026-04-07,-2,55.0,-17702.01,68.42,2.72,-72.42,True,TP_HIT,-15.69,1.29,510397,924735.0,-6.54,5.74,32.2,0.06,Healthcare,Nano,-5.4264,-37.9845,Continued Drop,-29.4574
ONCO,2026-04-09,2026-04-08,-1,55.0,-17702.01,68.42,2.72,-72.42,True,TP_HIT,-12.4,1.13,463712,810039.0,1.55,2.73,30.98,0.06,Healthcare,Nano,7.9646,-32.5664,Dead Cat Bounce,-32.5664
ONCO,2026-04-09,2026-04-10,1,55.0,-17702.01,68.42,2.72,-72.42,True,TP_HIT,-10.66,1.09,12795821,781365.0,6.56,7.92,31.43,0.4,Healthcare,Nano,-16.5138,-32.1101,Continued Drop,-32.1101
ONCO,2026-04-09,2026-04-13,4,55.0,-17702.01,68.42,2.72,-72.42,True,TP_HIT,-26.61,0.8,7120266,573479.0,-6.42,6.65,29.08,0.22,Healthcare,Nano,13.75,-8.5,Dead Cat Bounce,-8.5
ONCO,2026-04-09,2026-04-15,6,55.0,-17702.01,68.42,2.72,-72.42,True,TP_HIT,-16.32,0.76,2274236,545880.0,-10.45,7.25,29.89,0.08,Healthcare,Nano,0.0,-10.9211,Sideways,-4.2105
SKYQ,2026-04-09,2026-04-14,5,51.12,-265.59,30.59,9.35,-18.5,True,BOTH,-20.83,9.2,3733690,34568540.0,-13.34,8.24,65.92,0.09,Energy,Nano,20.5435,-12.9348,Dead Cat Bounce,-2.5
SKYQ,2026-04-09,2026-04-16,7,51.12,-265.59,30.59,9.35,-18.5,True,BOTH,-11.45,9.82,1298519,36898156.0,-6.04,1.97,64.26,0.03,Energy,Nano,-7.0265,-28.1059,Continued Drop,-28.1059
SKYQ,2026-04-09,2026-04-17,8,51.12,-265.59,30.59,9.35,-18.5,True,BOTH,-18.43,8.01,1221700,30097176.0,-11.91,6.52,56.61,0.03,Energy,Nano,13.9825,-25.0936,Dead Cat Bounce,-25.0936
UCAR,2026-04-09,2026-04-09,0,41.47,-768.75,17.6,2.74,-39.78,True,TP_HIT,-31.09,1.64,52322876,3498362.0,-2.1,21.34,35.98,0.98,Consumer Cyclical,Nano,42.0732,-29.878,Dead Cat Bounce,-29.878
UCAR,2026-04-09,2026-04-13,4,41.47,-768.75,17.6,2.74,-39.78,True,TP_HIT,-19.31,1.88,4939832,4010318.0,-17.6,13.94,38.56,0.08,Consumer Cyclical,Nano,-19.6809,-38.8298,Continued Drop,-20.2128
UCAR,2026-04-09,2026-04-14,5,41.47,-768.75,17.6,2.74,-39.78,True,TP_HIT,-19.68,1.51,4249143,3221053.0,-12.23,0.0,37.02,0.07,Consumer Cyclical,Nano,-0.6623,-23.8411,Sideways,-3.9735
