Timestamp,SPY_Open,SPY_Close,SPY_Direction,IWM_Open,IWM_Close,IWM_Direction,VIX_Close,VIX_Level,Market_Regime,Errors
2026-06-01T14:06:35.830050-05:00,759.67,759.65,FLAT,290.02,290.04,FLAT,15.73999977,LOW,NEUTRAL,
2026-06-01T14:22:45.464118-05:00,759.475,759.51,FLAT,289.605,289.605,FLAT,15.76000023,LOW,NEUTRAL,
2026-06-01T17:34:47.087451-05:00,758.64,758.65,FLAT,288.46,288.46,FLAT,16.04999924,LOW,NEUTRAL,
2026-06-02T12:52:56.358076-05:00,757.0300293,759.2050171,UP,290.96,290.96,FLAT,16.05999947,LOW,RISK_ON,
2026-06-02T13:07:43.721054-05:00,758.98,758.96,FLAT,290.91,290.91,FLAT,15.94999981,LOW,NEUTRAL,
2026-06-02T16:53:51.626165-05:00,760,760,FLAT,291.79,291.79,FLAT,15.77000046,LOW,NEUTRAL,
2026-06-03T13:08:25.152934-05:00,755.32,755.29,FLAT,288.015,287.995,FLAT,16.10000038,LOW,NEUTRAL,
2026-06-03T13:24:55.353244-05:00,755.505,755.56,FLAT,287.785,287.815,FLAT,16.07999992,LOW,NEUTRAL,
2026-06-03T16:55:21.593574-05:00,753.45,753.45,FLAT,287.19,287.19,FLAT,16.05999947,LOW,NEUTRAL,
2026-06-04T11:32:35.493620-05:00,756.28,756.08,FLAT,291.04,290.91,FLAT,15.52000046,LOW,NEUTRAL,
2026-06-04T14:29:13.287315-05:00,758.03,758.15,FLAT,292.47,292.525,FLAT,15.36999989,LOW,NEUTRAL,
2026-06-04T16:47:11.085257-05:00,756.16,756.16,FLAT,291.85,291.85,FLAT,15.39999962,LOW,NEUTRAL,
2026-06-05T11:12:34.204521-05:00,745.15,745.59,FLAT,284.87,285.055,FLAT,17.19000053,LOW,NEUTRAL,
2026-06-05T11:32:44.961804-05:00,744.37,744.27,FLAT,284.45,284.315,FLAT,18.10000038,LOW,NEUTRAL,
2026-06-05T14:00:44.055468-05:00,738.99,739.19,FLAT,281.33,281.62,FLAT,19.51000023,LOW,NEUTRAL,
2026-06-05T16:38:51.052431-05:00,734.47,734.47,FLAT,279.88,279.88,FLAT,21.51000023,MEDIUM,NEUTRAL,
2026-06-08T11:56:25.211012-05:00,742.29,742.25,FLAT,285.38,285.33,FLAT,18.46999931,LOW,NEUTRAL,
2026-06-08T12:26:07.628063-05:00,740.41,740.89,FLAT,284.07,284.295,FLAT,18.73999977,LOW,NEUTRAL,
2026-06-08T15:26:29.148622-05:00,739.32,739.235,FLAT,284.38,284.38,FLAT,18.79999924,LOW,NEUTRAL,
2026-06-09T16:52:32.841688-05:00,736.42,736.42,FLAT,284.8,284.8,FLAT,19.87000084,LOW,NEUTRAL,
2026-06-10T15:39:00.908972-05:00,724.73,724.73,FLAT,282.5,282.01,FLAT,22.21999931,MEDIUM,NEUTRAL,
